request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_220,215.79,not_affordable,not_recommended,none,2024-08-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_225,12200104.79,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_227,12839.03,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_228,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_229,564.69,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_232,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_233,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_234,324.26,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Wait until 2026-08-15; a full payment is not safe today but is forecast to be safe then.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_236,7243023.99,not_affordable,not_recommended,none,2025-04-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_239,386.25,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_240,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_242,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_244,46095.85,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_245,40476.85,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Wait until 2025-12-15; a full payment is not safe today but is forecast to be safe then.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_248,988.08,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_249,214.40,affordable_later,wait,2026-02-15:643.2,2026-02-15,none,Wait until 2026-02-15; a full payment is not safe today but is forecast to be safe then.
request_250,17762.28,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_251,1227.61,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_252,5932874.65,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15; a full payment is not safe today but is forecast to be safe then.
request_253,1635.69,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_254,824.45,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,Wait until 2025-09-15; a full payment is not safe today but is forecast to be safe then.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_256,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_257,661.91,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Wait until 2025-11-15; a full payment is not safe today but is forecast to be safe then.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_259,248.47,affordable_later,wait,2024-10-15:935,2024-10-15,none,Wait until 2024-10-15; a full payment is not safe today but is forecast to be safe then.
request_260,9954891.75,affordable_with_plan,partial_payment,2025-02-06:9954891.75|2025-02-15:42124108.25,2025-02-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_263,9414.39,not_affordable,not_recommended,none,2025-07-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_264,27291.46,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Wait until 2026-05-15; a full payment is not safe today but is forecast to be safe then.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_266,833.76,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_267,1670.45,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_269,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_270,242.77,not_affordable,not_recommended,none,2026-08-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_271,21249.60,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait until 2024-11-15; a full payment is not safe today but is forecast to be safe then.
request_272,6102616.21,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_273,10764260.96,affordable_with_plan,partial_payment,2026-04-07:10764260.96|2026-04-15:5096739.04,2026-04-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_274,2581.68,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
